Tabelle: 23211-0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;männlich;;;;;;;;;;;;;;;;;;weiblich;;;;;;;;;;;;;;;;;
;;Altersgruppen;;;;;;;;;;;;;;;;;;Altersgruppen;;;;;;;;;;;;;;;;;
;;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt
2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TDU-07;Krankheiten des Kreislaufsystems;11;24;21;40;68;152;355;652;1127;2391;5019;8441;11474;15251;17486;30923;67035;-;7;17;14;23;43;77;161;230;389;809;1628;3156;4947;8410;12425;29591;116815;-
TDU-071;Hypertonie (Hochdruckkrankheit);.;-;.;.;4;7;23;50;93;154;390;673;828;1202;1559;3212;9170;-;-;-;-;-;.;.;7;21;18;64;129;279;505;935;1609;4673;24298;-
TDU-072;Ischämische Herzkrankheiten;-;-;.;4;10;33;97;220;483;1139;2446;4114;5412;6846;7376;12400;24853;-;-;-;.;-;.;9;24;43;110;202;556;1055;1652;2706;3625;7953;30100;-
TDU-0721;Akuter oder rezidivierender Myokardinfarkt;-;-;.;3;6;27;79;176;342;767;1536;2396;2837;3218;2918;4148;6420;-;-;-;-;-;.;5;18;31;77;134;352;639;963;1387;1585;2977;8213;-
TDU-073;Sonstige Formen der Herzkrankheit;9;14;8;14;28;38;102;147;201;386;791;1275;1793;2602;3207;6558;17081;-;4;11;7;4;13;18;42;37;69;130;246;507;790;1516;2710;7251;32255;-
TDU-074;Sonstige Krankheiten des Endokards;.;-;.;.;.;6;13;22;19;77;154;242;383;573;780;1528;3517;-;-;-;.;3;.;6;8;8;8;26;37;91;171;360;538;1380;6340;-
TDU-075;Zerebrovaskuläre Krankheiten;-;5;.;12;7;34;53;101;158;319;660;1175;1762;2535;3041;5041;8618;-;.;3;.;7;7;18;40;70;107;219;362;697;1073;1741;2518;5603;16193;-
TDU-0751;Schlaganfall, nicht als Blutung oder Infarkt bez.;-;-;-;-;-;.;-;4;12;26;66;134;229;350;474;790;1676;-;-;-;-;-;-;-;.;3;.;9;28;57;126;237;380;1003;3583;-
TDU-076;Krankheiten der Arterien, Arteriolen und Kapillare;-;.;.;3;.;10;25;44;73;131;256;468;655;813;744;964;1632;-;-;-;-;.;3;4;11;14;19;47;116;231;330;465;560;971;2517;-
TDU-08;Krankheiten des Atmungssystems;7;31;12;14;20;48;87;121;226;463;1233;2530;3895;5217;5603;8072;12571;-;7;29;7;10;16;29;54;69;111;288;748;1598;2666;3692;4303;6632;14708;-
