Tabelle: 12411-0008
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nationalität, Geschlecht, Familienstand;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Deutsche;;;;;;;;;;;;;;Ausländer;;;;;;;;;;;;;
;männlich;;;;;;;weiblich;;;;;;;männlich;;;;;;;weiblich;;;;;;
;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben
31.12.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64-Jährige;75470;377078;15740;77840;-;-;-;51194;368868;60147;95827;-;-;-;8392;29802;1205;6137;-;-;-;8217;25480;6196;6686;-;-;-
65-Jährige;67575;368428;17262;73906;-;-;-;46906;357745;65407;90590;-;-;-;7178;25936;1131;5425;-;-;-;7775;22060;5973;5945;-;-;-
66-Jährige;59370;347648;17593;66745;-;-;-;40976;333572;69188;82074;-;-;-;6331;23690;1133;4768;-;-;-;7009;20010;6248;5479;-;-;-
67-Jährige;53360;340510;19467;63566;-;-;-;38172;322007;74568;78108;-;-;-;5522;22377;1220;4592;-;-;-;6330;18347;6306;4977;-;-;-
68-Jährige;47961;330706;20944;59316;-;-;-;34922;306793;80012;73711;-;-;-;4946;22873;1346;4291;-;-;-;6102;18669;7240;4762;-;-;-
69-Jährige;42817;317816;21894;53702;-;-;-;31190;291804;85422;69352;-;-;-;4333;20279;1299;3709;-;-;-;5609;18332;7907;4389;-;-;-
70-Jährige;38819;308297;23200;49953;-;-;-;29033;280556;91701;66533;-;-;-;3783;17288;1341;3244;-;-;-;5371;17542;8208;4367;-;-;-
71-Jährige;33305;294704;24320;45820;-;-;-;25981;266021;96386;62150;-;-;-;3324;15082;1261;2907;-;-;-;4705;16243;8331;4019;-;-;-
72-Jährige;30394;290321;26470;42333;-;-;-;24013;255639;104636;59889;-;-;-;3017;15216;1335;2704;-;-;-;4488;16350;9279;3956;-;-;-
73-Jährige;27513;279688;27677;39432;-;-;-;22332;242541;110881;57048;-;-;-;2625;14768;1457;2358;-;-;-;4092;14315;8943;3495;-;-;-
74-Jährige;23814;271929;29849;35975;-;-;-;20368;230790;118426;54323;-;-;-;2465;17059;1790;2416;-;-;-;3841;15347;10830;3472;-;-;-
75-Jährige;20373;256747;30785;32433;-;-;-;17366;212625;123956;49172;-;-;-;2222;16778;1909;2202;-;-;-;3648;13799;10336;3081;-;-;-
